run_id,seed,network_type,network_kwargs,n_nodes,a0,ratio,beta_I,b,g_I,I0,X0_frac,init_method,strategy_choice_func,tau,policy,seeded_nodes,steps_run,converged,X_final,I_final,high_adoption,t_half,t_high,clusters_n_final,cluster_max_final,cluster_mean_final,X0,I0_grid,beta_I_grid,low_adoption
97,220,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
98,221,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
99,222,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
100,223,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
101,224,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
102,225,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
103,226,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
104,227,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
105,228,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
106,229,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
107,230,erdos_renyi,"{""p"": 0.05}",300,1.8000000000000003,2.2,2.0,1.0,0.08,0.2,0.0,random,logit,0.2,none,0,1,True,0.0,0.184,0,,,0,0,0.0,0.0,0.2,2.0,1
